,Accuracy,roc_auc_score,f1_score
baseline_train,0.8175,0.6647,0.0638
baseline_test,0.8185,0.653,0.0487
after_nonsense_drop_train,0.8174,0.665,0.0629
after_nonsense_drop_test,0.8185,0.6529,0.0475
after_soft_correlation_drop_train,0.8179,0.6713,0.0708
after_soft_correlation_drop_test,0.8189,0.6603,0.0535
after_auc_drop_train,0.8173,0.6622,0.0623
after_auc_drop_test,0.818,0.6518,0.0438
after_linearization_train,0.8294,0.676,0.2007
after_linearization_test,0.8309,0.6737,0.1885
model_train,0.8295,0.6867,0.201
model_test,0.8324,0.6813,0.2027
