,MAPE,Spearman,Pearson,Kendall
baseline_train,0.0536,0.0763,0.4194,0.0692
baseline_test,0.0539,0.0723,0.2702,0.0647
after_nonsense_drop_train,0.0542,0.0752,0.4019,0.0692
after_nonsense_drop_test,0.0538,0.0702,0.3588,0.0647
after_soft_correlation_drop_train,0.0547,0.0733,0.3833,0.0692
after_soft_correlation_drop_test,0.0541,0.0681,0.3681,0.0647
after_hard_correlation_drop_train,0.052,0.0983,0.5209,0.0692
after_hard_correlation_drop_test,0.0517,0.0905,0.5019,0.0647
model_train,0.052,0.0982,0.5209,0.0692
model_test,0.0517,0.0905,0.502,0.0647
