,MAPE,Spearman,Pearson,Kendall
baseline_train,0.1472,0.3693,0.2498,0.2599
baseline_test,0.1598,0.375,-0.072,0.2608
after_nonsense_drop_train,0.1476,0.3587,0.2193,0.2599
after_nonsense_drop_test,0.1452,0.3643,0.1684,0.2608
after_soft_correlation_drop_train,0.1483,0.3512,0.181,0.2599
after_soft_correlation_drop_test,0.1458,0.3544,0.1379,0.2608
after_hard_correlation_drop_train,0.1478,0.3543,0.1588,0.2599
after_hard_correlation_drop_test,0.1447,0.3592,0.1706,0.2608
model_train,0.1478,0.3535,0.1587,0.2599
model_test,0.1447,0.3588,0.1706,0.2608
