Тикер,Название,"Дата
начала
торгов на
МосБирже",Тип,"Цена
размещения","Динамика
в первый
день
торгов",30 дней,"90
дней","180
дней","Динамика от
размещения
к 12.03.24","Динамика
индекса
МосБиржи от
размещения к
12.03.24","MAX
рост от
IPO","MAX
падение
от IPO"
KLVZ,Кристалл,22.02.2024,IPO,"9,5","-14,7%",—,—,—,-11%,6%,0%,-24%
DIAS,Диасофт,13.02.2024,IPO,4500,"40,0%",—,—,—,34%,2%,63%,22%
DELI,Делимобиль,06.02.2024,IPO,265,"6,8%",8%,—,—,8%,2%,20%,0%
MGKL,Мосгорломбард,28.12.2023,IPO,"2,5","-5,2%",-1%,—,—,2%,8%,22%,-11%
SVCB,Совкомбанк,15.12.2023,IPO,"11,5","8,7%",20%,—,—,67%,10%,72%,7%
UGLD,ЮГК,22.11.2023,IPO,"0,55","3,8%",15%,46%,—,42%,3%,49%,-7%
EUTR,ЕвроТранс,21.11.2023,IPO,250,"-10,8%",-6%,7%,—,9%,4%,94%,-14%
HNFG,Henderson,02.11.2023,IPO,675,"-0,7%",-27%,-11%,—,-5%,4%,9%,-29%
ASTR,Группа Астра,13.10.2023,IPO,333,"40,0%",51%,57%,—,71%,4%,96%,33%
CARM,CarMoney,03.07.2023,DPO,"3,16","5,0%",-7%,-16%,-27%,-25%,19%,11%,-29%
GECO,Генетико,25.04.2023,IPO,"17,88","95,9%",70%,87%,229%,167%,26%,277%,40%
WUSH,Whoosh,14.12.2022,IPO,185,"0,2%",-12%,6%,15%,51%,55%,59%,-27%
POSI,Группа Позитив,17.12.2021,DPO,770,"29,2%",-4%,-100%,10%,226%,-10%,235%,-47%
SPBE,СПБ Биржа,19.11.2021,IPO,"834,9","12,2%",19%,-19%,-70%,-89%,-17%,32%,-92%
CIAN,Cian,05.11.2021,ВЛ,"1250,6","1,7%",-13%,-46%,-73%,-39%,-20%,7%,-82%
RENI,Ренессанс страхование,20.10.2021,IPO,120,"-1,7%",-5%,-39%,-66%,-14%,-21%,25%,-79%
GEMC,ЕМС,15.07.2021,IPO,"926,55","-0,1%",-6%,16%,9%,3%,-12%,43%,-70%
HMSG,HMSG,25.05.2021,ВЛ,458,"-3,0%",-29%,-30%,-28%,-77%,-10%,83%,-88%
SGZH,Сегежа,28.04.2021,IPO,8,"-0,4%",-3%,-9%,36%,-49%,-7%,44%,-54%
FIXP,Fix Price,10.03.2021,ВЛ,"724,5","-1,0%",-1%,-15%,-11%,-58%,-4%,4%,-64%
SVET,Светофор,15.01.2021,IPO,70,"50,2%",69%,23%,27%,-59%,-4%,114%,-77%
OKEY,OKEY,14.12.2020,ВЛ,68,"-0,1%",-3%,-15%,-22%,-55%,2%,1%,-76%
OZON,OZON,24.11.2020,ВЛ,"2674,5","13,4%",18%,85%,51%,23%,8%,94%,-78%
MDMG,Группа «Мать и Дитя»,09.11.2020,ВЛ,490,"-4,8%",-7%,2%,28%,105%,12%,117%,-35%
SMLT,Самолет,29.10.2020,IPO,950,"0,3%",-1%,1%,62%,284%,23%,511%,-4%
GLTR,Globaltrans,28.10.2020,ВЛ,486,"-6,0%",-7%,8%,0%,40%,24%,56%,-49%
FLOT,Совкомфлот,07.10.2020,IPO,105,"-4,3%",-8%,-11%,-14%,31%,17%,43%,-73%
HHRU,HeadHunter,25.09.2020,ВЛ,1875,"-0,3%",-5%,23%,40%,106%,15%,164%,-57%
VKCO,ВК,02.07.2020,ВЛ,"1700,2","-2,0%",19%,29%,17%,-62%,18%,44%,-86%
ETLN,Эталон,03.02.2020,ВЛ,"149,2","-2,1%",-19%,-44%,-26%,-35%,9%,1%,-74%
TCSG,ТКС Холдинг,28.10.2019,ВЛ,1206,"0,0%",0%,20%,-22%,153%,17%,606%,-33%
GEMA,ММЦБ,25.07.2019,IPO,672,"2,5%",1%,-1%,13%,-71%,23%,108%,-81%
FIVE,X5 Group,01.02.2018,ВЛ,2200,"-4,1%",-8%,-18%,-24%,24%,45%,43%,-67%

GTRK,Globaltruck,03.11.2017,IPO,132,"0,9%",3%,2%,2%,254%,60%,453%,-89%
EELT,ЕвроЭлтех,07.09.2017,IPO,"9,5","7,4%",19%,31%,45%,139%,66%,208%,-61%
DSKY,ДетскийМир,10.02.2017,IPO,85,"0,0%",-5%,5%,8%,-37%,54%,91%,-50%
RNFT,РуссНефть,18.11.2016,IPO,550,"1,5%",2%,2%,7%,-69%,59%,26%,-89%
SFIN,ЭсЭфАй,04.12.2015,IPO,587,"-2,9%",-3%,0%,4%,178%,90%,207%,-56%
NKHP,НКХП,17.11.2015,IPO,525,"-12,6%",-13%,-30%,-43%,104%,87%,408%,-73%
CBOM,МКБ,22.06.2015,IPO,"3,62","1,7%",2%,2%,3%,123%,103%,143%,-3%
UWGN,ОВК ао,29.04.2015,IPO,700,"1,4%",4%,3%,5%,-91%,98%,29%,-97%
