,ticker,name_ru,ipo_dt,ipo_price,1d_price,1m_price,3m_price,6m_price
0,KLVZ,Кристалл,2024-02-22,9.5,-0.147,,,
1,DIAS,Диасофт,2024-02-13,4500.0,0.4,,,
2,DELI,Делимобиль,2024-06-02,265.0,0.068,0.08,,
3,MGKL,Мосгорломбард,2023-12-28,2.5,-0.052000000000000005,-0.01,,
4,SVCB,Совкомбанк,2023-12-15,11.5,0.087,0.2,,
5,UGLD,ЮГК,2023-11-22,0.55,0.038,0.15,0.46,
6,EUTR,ЕвроТранс,2023-11-21,250.0,-0.10800000000000001,-0.06,0.07,
7,HNFG,Henderson,2023-02-11,675.0,-0.006999999999999999,-0.27,-0.11,
8,ASTR,Группа Астра,2023-10-13,333.0,0.4,0.51,0.57,
9,CARM,CarMoney,2023-03-07,3.16,0.05,-0.07,-0.16,-0.27
10,GECO,Генетико,2023-04-25,17.88,0.9590000000000001,0.7,0.87,2.29
11,WUSH,Whoosh,2022-12-14,185.0,0.002,-0.12,0.06,0.15
12,POSI,Группа Позитив,2021-12-17,770.0,0.292,-0.04,-1.0,0.1
13,SPBE,СПБ Биржа,2021-11-19,834.9,0.122,0.19,-0.19,-0.7
14,CIAN,Cian,2021-05-11,1250.6,0.017,-0.13,-0.46,-0.73
15,RENI,Ренессанс страхование,2021-10-20,120.0,-0.017,-0.05,-0.39,-0.66
16,GEMC,ЕМС,2021-07-15,926.55,-0.001,-0.06,0.16,0.09
17,HMSG,HMSG,2021-05-25,458.0,-0.03,-0.29,-0.3,-0.28
18,SGZH,Сегежа,2021-04-28,8.0,-0.004,-0.03,-0.09,0.36
19,FIXP,Fix Price,2021-10-03,724.5,-0.01,-0.01,-0.15,-0.11
20,SVET,Светофор,2021-01-15,70.0,0.502,0.69,0.23,0.27
21,OKEY,OKEY,2020-12-14,68.0,-0.001,-0.03,-0.15,-0.22
22,OZON,OZON,2020-11-24,2674.5,0.134,0.18,0.85,0.51
23,MDMG,Группа «Мать и Дитя»,2020-09-11,490.0,-0.048,-0.07,0.02,0.28
24,SMLT,Самолет,2020-10-29,950.0,0.003,-0.01,0.01,0.62
25,GLTR,Globaltrans,2020-10-28,486.0,-0.06,-0.07,0.08,0.0
26,FLOT,Совкомфлот,2020-07-10,105.0,-0.043,-0.08,-0.11,-0.14
27,HHRU,HeadHunter,2020-09-25,1875.0,-0.003,-0.05,0.23,0.4
28,VKCO,ВК,2020-02-07,1700.2,-0.02,0.19,0.29,0.17
29,ETLN,Эталон,2020-03-02,149.2,-0.021,-0.19,-0.44,-0.26
30,TCSG,ТКС Холдинг,2019-10-28,1206.0,0.0,0.0,0.2,-0.22
31,GEMA,ММЦБ,2019-07-25,672.0,0.025,0.01,-0.01,0.13
32,FIVE,X5 Group,2018-01-02,2200.0,-0.040999999999999995,-0.08,-0.18,-0.24
33,GTRK,Globaltruck,2017-03-11,132.0,0.009000000000000001,0.03,0.02,0.02
34,EELT,ЕвроЭлтех,2017-07-09,9.5,0.07400000000000001,0.19,0.31,0.45
35,DSKY,ДетскийМир,2017-10-02,85.0,0.0,-0.05,0.05,0.08
36,RNFT,РуссНефть,2016-11-18,550.0,0.015,0.02,0.02,0.07
37,SFIN,ЭсЭфАй,2015-04-12,587.0,-0.028999999999999998,-0.03,0.0,0.04
38,NKHP,НКХП,2015-11-17,525.0,-0.126,-0.13,-0.3,-0.43
39,CBOM,МКБ,2015-06-22,3.62,0.017,0.02,0.02,0.03
40,UWGN,ОВК ао,2015-04-29,700.0,0.013999999999999999,0.04,0.03,0.05
41,AGRO,Росагро,2014-01-12,320.0,0.0,-0.13,0.19,0.45
42,YNDX,Yandex,2014-04-06,1546.8,-0.244,-0.23,-0.3,-0.2
43,QIWI,QIWI,2013-08-10,1290.0,0.039,0.11,0.41,-0.09
44,POLY,Polymetal,2013-06-17,292.6,-0.049,0.07,0.18,-0.08
45,MOEX,МосБиржа,2013-04-02,55.0,0.0,-0.02,-0.16,0.07
