"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2024","20,730","20,040","21,320","19,880","","3,13%"
"29.04.2024","20,100","20,190","21,560","19,830","","9,12%"
"26.04.2024","18,420","20,890","20,900","18,280","","-10,06%"
"25.04.2024","20,480","21,360","21,790","20,490","","-4,57%"
"24.04.2024","21,460","20,970","21,940","20,790","","3,97%"
"23.04.2024","20,640","20,450","22,220","20,000","","1,43%"
"22.04.2024","20,350","20,340","21,010","19,970","","4,63%"
"19.04.2024","19,450","21,130","21,370","19,120","","-8,47%"
"18.04.2024","21,250","21,510","21,720","20,150","","-1,16%"
"17.04.2024","21,500","22,360","22,880","20,670","","-1,74%"
"16.04.2024","21,880","22,890","22,960","20,270","","-4,33%"
"15.04.2024","22,870","22,210","25,080","20,580","","0,09%"
"12.04.2024","22,850","22,130","23,620","20,230","","0,84%"
"11.04.2024","22,660","20,380","24,960","20,380","","1,25%"
"10.04.2024","22,380","21,070","22,570","19,600","","8,17%"
"09.04.2024","20,690","21,860","22,640","20,000","","-5,27%"
"08.04.2024","21,840","22,140","23,790","21,210","","2,54%"
"05.04.2024","21,300","20,160","22,350","19,670","","6,61%"
"04.04.2024","19,980","20,750","22,920","19,920","","-3,62%"
"03.04.2024","20,730","19,960","22,730","19,920","","-3,04%"
"02.04.2024","21,380","21,140","21,510","19,000","","1,04%"
"01.04.2024","21,160","20,400","21,280","19,640","","3,57%"
"29.03.2024","20,430","22,810","22,840","19,970","","-8,79%"
"28.03.2024","22,400","22,310","22,700","21,220","","2,71%"
"27.03.2024","21,810","23,230","23,880","21,520","","-5,34%"
"26.03.2024","23,040","23,940","24,460","22,930","","-4,95%"
"25.03.2024","24,240","25,100","25,680","23,850","","0,04%"
"22.03.2024","24,230","22,130","24,290","21,060","","12,38%"
"21.03.2024","21,560","24,940","25,090","21,260","","-12,07%"
"20.03.2024","24,520","24,810","25,570","23,930","","-0,85%"
"19.03.2024","24,730","24,970","25,450","23,510","","0,45%"
"18.03.2024","24,620","24,910","26,310","23,180","","3,40%"
"15.03.2024","23,810","25,060","26,700","23,070","","-9,33%"
"14.03.2024","26,260","26,040","30,570","24,040","","-3,21%"
"13.03.2024","27,130","24,710","34,050","24,460","","11,33%"
"12.03.2024","24,370","24,630","24,890","22,630","","-0,89%"
"11.03.2024","24,590","24,510","25,730","22,870","","5,76%"
"07.03.2024","23,250","23,200","24,090","22,600","","1,04%"
"06.03.2024","23,010","23,240","24,140","22,700","","1,50%"
"05.03.2024","22,670","21,440","24,010","21,440","","-1,65%"
"04.03.2024","23,050","19,810","23,660","19,790","","24,33%"
"01.03.2024","18,540","18,950","20,770","18,500","","-10,69%"
"29.02.2024","20,760","21,410","21,410","19,660","","6,30%"
"28.02.2024","19,530","22,090","22,740","19,520","","-10,82%"
"27.02.2024","21,900","23,620","23,690","21,870","","-5,81%"
"26.02.2024","23,250","26,240","26,250","23,080","","-8,28%"
"22.02.2024","25,350","27,100","27,340","24,860","","-2,01%"
"21.02.2024","25,870","24,460","26,280","24,000","","8,97%"
"20.02.2024","23,740","23,030","24,470","22,510","","2,99%"
"19.02.2024","23,050","21,880","23,460","21,810","","8,27%"
"16.02.2024","21,290","20,220","21,780","18,890","","0,28%"
"15.02.2024","21,230","18,440","22,910","17,850","","9,15%"
"14.02.2024","19,450","19,670","20,010","17,420","","-2,70%"
"13.02.2024","19,990","21,950","21,970","14,940","","-7,80%"
"12.02.2024","21,680","17,230","21,700","15,270","","24,74%"
"09.02.2024","17,380","14,500","19,020","10,580","","22,14%"
"08.02.2024","14,230","15,590","16,490","12,190","","-7,54%"
"07.02.2024","15,390","20,880","21,850","15,140","","-25,47%"
"06.02.2024","20,650","21,130","21,350","20,200","","-0,10%"
"05.02.2024","20,670","21,270","22,640","20,400","","1,57%"
"02.02.2024","20,350","20,940","21,380","20,010","","-2,63%"
"01.02.2024","20,900","21,660","22,340","19,620","","-2,93%"
"31.01.2024","21,530","22,220","22,830","21,470","","-2,49%"
"30.01.2024","22,080","22,450","22,580","21,430","","-0,67%"
"29.01.2024","22,230","23,450","23,450","21,570","","0,45%"
"26.01.2024","22,130","21,620","22,890","21,280","","4,63%"
"25.01.2024","21,150","22,980","23,030","21,060","","-6,87%"
"24.01.2024","22,710","23,310","23,890","22,340","","0,31%"
"23.01.2024","22,640","24,120","24,730","22,430","","-4,47%"
"22.01.2024","23,700","23,650","24,160","23,560","","4,87%"
"19.01.2024","22,600","22,250","23,250","21,190","","2,82%"
"18.01.2024","21,980","22,550","23,650","21,700","","-2,05%"
"17.01.2024","22,440","25,040","25,340","21,810","","-10,63%"
"16.01.2024","25,110","24,420","25,930","23,080","","6,08%"
"15.01.2024","23,670","24,180","25,280","22,750","","3,82%"
"12.01.2024","22,800","23,290","24,950","22,570","","0,13%"
"11.01.2024","22,770","20,650","23,340","19,890","","10,11%"
"10.01.2024","20,680","20,800","21,700","18,970","","-3,14%"
"09.01.2024","21,350","24,150","24,500","19,300","","-11,12%"
"08.01.2024","24,020","24,520","26,320","22,030","","-4,19%"
"05.01.2024","25,070","23,890","27,340","23,890","","-6,14%"
"04.01.2024","26,710","26,400","29,420","26,400","","1,83%"
"03.01.2024","26,230","49,030","49,070","26,230","","-7,48%"
"29.12.2023","28,350","27,920","30,680","27,140","","5,47%"
