channel_id,name,subscribers,link,description,create_date,message_cnt
0,Тинькофф Инвестиции,670825,https://t.me/tinkoff_invest_official,Официальный канал Тинькофф.,2019-09-04 15:50:32,44.0
1,Альфа-Инвестиции,415942,https://t.me/alfa_investments,"Официальный канал Альфа-Инвестиций с инвестидеями, прогнозами и советами, как управлять портфелем.",2021-06-18 14:04:01,384.0
2,Мои Инвестиции,286117,https://t.me/omyinvestments,"Инвестидеи, обзоры рынка и многое другое от лучших аналитиков рынка",2019-09-12 12:53:25,11.0
3,bitkogan,284405,https://t.me/bitkogan,Авторский канал Евгения Когана,2018-01-14 14:46:07,1777.0
4,СберИнвестиции,232751,https://t.me/SberInvestments,"Канал СберИнвестиции, в котором мы рассказываем о новостях на рынках, инвестиционных прогнозах, инструментах и лайфхаках для начинающих и опытных инвесторов.",2020-07-24 16:15:43,419.0
6,InvestFuture,194786,https://t.me/investfuture,Медиа про деньги https://t.me/addlist/OhM2a9HhZZsyY2My,2017-11-15 10:25:25,4635.0
8,Лимон на чай,152532,https://t.me/lemonfortea,"Реальный опыт инвестора, со всеми граблями и успехами. С понятными стратегиями и подробными инструкциями, как надо и как не надо.",2017-10-06 07:15:03,55.0
9,РынкиДеньгиВласть | РДВ,150076,https://t.me/AK47pfl,"аналитика по российскому рынку ценных бумаг, которая ранее была доступна лишь финансовым элитам. Впереди брокеров и банков.",2017-04-05 08:43:54,19.0
10,IF Stocks,121468,https://t.me/if_stocks,Реклама: https://t.me/IF_adv,2020-09-20 21:40:46,3118.0
11,На пенсию в 35 лет,111125,https://t.me/pensiya35,В 35 лет мои доходы от инвестиций превысили расходы. И я вышел на пенсию. В этом блоге я расскажу как мне это удалось.,2019-09-24 10:29:11,378.0
12,Spydell_finance,110562,https://t.me/spydell_finance,"Финансовые рынки, экономика, корпоративная аналитика, финансово-экономическая инфографика и статистика.",2020-11-27 18:51:09,246.0
14,investify! • Финансы,104106,https://t.me/ifinvest,"Другой взгляд на экономику, финансы и инвестиции.",2021-05-21 14:58:31,4964.0
15,Инвестиции на диване,102845,https://t.me/div_invest,"Простым языком рассказываю об инвестициях и личных финансах. Объясняю принципы работы с фондовым рынком. Делюсь собственным опытом и инсайтами, которые вы больше нигде не найдете.",2019-09-03 09:03:22,687.0
16,Сам ты инвестор!,96389,https://t.me/selfinvestor,"Рассказываем о фондовом рынке и личных финансах. Официальный канал сервиса РБК Инвестиции для тех, кто заботится о своих деньгах.",2020-03-03 08:46:53,540.0
17,Дивиденды Forever,89092,https://t.me/divForever,"Этот канал-лента новостей, фактов, обобщающих таблиц и комментариев , которые я сама использую для  Дивидендного Инвестирования.С уважением Лариса Морозова. ПО ВСЕМ ВОПРОСАМ ТОЛЬКО @LaraMdivi",2018-03-17 18:10:31,7.0
18,Финансовая нeзaвисимость,79526,https://t.me/fndb777,Я инвестирую более 23 лет. Достиг финансовой независимости. Делюсь своим опытом. Информация на моем канале не является индивидуальной инвестиционной рекомендацией.,2021-06-16 20:09:33,58.0
19,ДОХОДЪ,73794,https://t.me/dohod,Управляющие и аналитики УК ДОХОДЪ,2016-03-03 14:24:50,2276.0
20,Alfa Wealth,72431,https://t.me/alfawealth,Алексей Климюк. Рекламу не даю. Платных каналов не веду. Курсы не продаю.,2018-10-19 12:45:29,630.0
21,СМАРТЛАБ,70651,https://t.me/smartlabnews,Самые интересные и полезные материалы с сайта smart-lab.ru!,2016-07-17 20:05:58,957.0
22,ДИВИДЕНДЫ INVESTMINT,64575,https://t.me/investmint,Дивиденды российских компаний  канал основателя @mintering  реклама @investmintru,2018-07-09 11:03:57,30.0
23,Ленивый инвестор,64224,https://t.me/smfanton,"Вышел на ранюю пенсию сам и помогаю другим. Публично инвестирую 3 000 000+ рублей. Финансовый советник, в сопровождении более 1 млрд рублей. Обо мне: https://taplink.cc/lenivy.investor",2017-04-20 15:53:22,1697.0
24,Invest Era,63866,https://t.me/usamarke1,Авторский канал финансового аналитика  Артёма Николаева,2020-01-14 17:35:13,52.0
25,Сын Баффета | Инвестиции,62869,https://t.me/SonBuffet,Вопросы/Реклама — @SonBuffetBot,2020-09-03 22:39:30,3184.0
26,IF Bonds — Облигации РФ,62795,https://t.me/if_bonds,Реклама: https://t.me/IF_adv,2021-06-25 08:34:24,1460.0
27,Школа безопасных инвестиций,62311,https://t.me/finraonline,Профессиональное онлайн-обучение для инвесторов №1 в России,2020-04-15 14:57:14,188.0
29,ФИНАНСОВЫЕ ДУМКИ,60728,https://t.me/MarketDumki,"Авторский канал о финансовых рынках и мировой экономике, об инвестициях и трейдинге",2017-10-29 10:09:35,19.0
30,Дивиденды онлайн,60676,https://t.me/divonline,"Дивиденды — это часть прибыли, которую акционеры получают от компании. Хотите знать кто, когда и сколько вам заплатит? Тогда вам к нам!",2018-06-11 08:18:42,61.0
31,БКС Экспресс,58376,https://t.me/bcs_express,"Официальный канал издания БКС Экспресс. Все об инвестициях: новости, аналитика, идеи и рекомендации.",2015-11-18 16:09:32,238.0
32,Инвестиции с Оксаной Мащенко,56978,https://t.me/investoksana,"Авторский канал квалифицированного инвестора: новости, аналитика, сделки.",2020-02-20 04:39:05,212.0
